,question,contexts,ground_truth,evolution_type,metadata,episode_done
10,Jakie są warunki na redukcję czesnego za wyniki w nauce?,"['- Rozdziat IV ZASADY WYLICZANIA ZNIZEK  1. Rektor przyznaje redukcje czesnego za wyniki w nauce. 2. Redukcja przyznawana jest: 1) po kazdym zakonczonym semestrze studentom, ktorzy osiqgn li sredniq semestralnq 5,0 i majq zaliczone wszystkie wymagane programowo przedmioty (cwiczenia i wyktady); 2) na okres jednego semestru i polega na obnizeniu czesnego o 20%, 3) automatycznie na podstawie uzyskanych wynikow w nauce (nie wymaga sktadania wniosku przez Studenta). 3. 0 przyznaniu redukcji Student zostaje powiadomiony za posrednictwem poczty e-mail. 4. Redukcja czesnego dla studiujqcego rodzenstwa lub matzenstwa: 1) maze zostac przyznana studiujqcemu w tym samym czasie rodzenstwu lub wspotmatzonkom, na podstawie ztozonego przez kazdego ze studentow wniosku; 2) wysokosc redukcji wynosi 25% dla kazdego uprawnionego; 3) obowic1zuje tylko w sytuacji, gdy kazdy z uprawnionych uiszcza czesne; 4)  zmiana trybu jednego z uprawnionych na tryb ""tylko ITN"", przejscie na urlop zdrowotny/dziekanski lub utrata statusu studenta pozbawia pozostatych uprawnionych prawa do redukcji; 5) redukcja przyznawana jest na okres jednego semestru. Po jego uptywie nalezy ponowic wniosek w celu utrzymania redukcji. 5. Redukcja z tytutu studiowania na wi cej niz jednym kierunku jednoczesnie: 1) dotyczy studentow, ktorzy w trakcie studiow podejmujq nauk na drugim kierunku PJATK; 2) wymaga ztozenia wniosku o przyznanie redukcji; 3) wysokosc redukcji ustala si  na 50% nizszego cz·esnego; 4) redukcja przyznawana jest na okres jednego semestru. Po jego uptywi nalezy ponowic wniosek w celu utrzymania redukcji. 6. PJATK pokrywa do 50% kosztow pobytu studenta Wydziatu·sztuki Nowych Mediow na obowiqzkowym dla studenta plenerze. Pozostate koszty, w tym koszt clojazdu na miejsce zaj c plenerowych, student ponosi we wtasnym zakresie. 7. Student ma prawo do znizki z tytutu jednorazowej optaty czesnego: 1) za rok z gory - w wysokosci 5% lub 2) za semestr z gory - w wysokosci 2%. 8. Pod poj ciem optaty za rok z gory, o kt6rej mowa w ust. 7 niniejszego paragrafu, nalezy rozumiec optat za rok akademicki, tj. optat uregulowanc1 tc1cznie za dwa semestry. Znizka za rok z gory nie przystuguje, jezeli w danym roku akademickim proces nauki Studenta obejmuje tylko']","Redukcja czesnego za wyniki w nauce przyznawana jest studentom, którzy osiągną średnią semestralną 5,0 i mają zaliczone wszystkie wymagane programowo przedmioty. Redukcja przyznawana jest po każdym zakończonym semestrze, na okres jednego semestru i polega na obniżeniu czesnego o 20%. Przyznanie redukcji następuje automatycznie na podstawie uzyskanych wyników w nauce, bez potrzeby składania wniosku przez studenta.",reasoning,"[{'source': '../../content/data2/Regulamin-oplat-2022_2023-PL.pdf', 'page': 2}]",True
11,Jakie formy współpracy realizuje uczelnia?,"['7 \n .        \n Uczelnia współpracuje nie tylko z otoczeniem gospodarczym , ale stara się nawiązać \nkontakt z otoczeniem społecznym. Pod auspicjami PJATK  prowadzone jest wspomniane \nwcześniej Akademickie Liceum Ogólnokształcące. Na Wydziale uruchomiono, we współpracy \nz Urzędem Miasta st. Warszawy, Living Laboratory – projekt adresow any do seniorów mający \nna celu ich zapoznanie z nowymi technologiami.  W realizację projektu zaangażowani są \nrównież studenci wizytowanego kierunku, przygotowują aplikacje i weryfikują ich \nfunkcjonalność w ramach dyskusji z seniorami uczestniczącymi w tej i nicjatywie.  \n Wymiana międzynarodowa studentów oraz nauczycieli akademickich, m.in. w ramach \nprogramu Erasmus, umożliwia przepływ  doświadczeń i przenoszenie na grunt PJATK \nwzorców międzynarodowych. \nWspółpraca z \nakademickimi ośrodkami zagranicznymi, w Japonii, Wielkiej Brytanii, Irlandii i Hiszpanii, w \ntym wykłady  wygłaszane przez specjalistów z  różnych dziedzin, dodatkowo wzbogaca ją \nofertę kształcenia na kierunku  „informatyka” .  \n \n \n \n  \n \n  ']","Uczelnia realizuje współpracę z otoczeniem gospodarczym oraz społecznym. Współpracuje z Urzędem Miasta st. Warszawy w projekcie Living Laboratory, a także prowadzi wymianę międzynarodową studentów i nauczycieli akademickich, m.in. w ramach programu Erasmus. Ponadto, współpracuje z akademickimi ośrodkami zagranicznymi, takimi jak Japonia, Wielka Brytania, Irlandia i Hiszpania.",simple,"[{'page_label': '6', 'file_name': 'Raport_z_wizytacji_PJATK_w_Warszawie.pdf', 'file_path': '/Users/zuzannagez/Desktop/Biurko\xa0– MacBook Pro (Zuzanna)/rag/src/src/pre_retrieval/../../content/data2/Raport_z_wizytacji_PJATK_w_Warszawie.pdf', 'file_type': 'application/pdf', 'file_size': 553406, 'creation_date': '2024-07-07', 'last_modified_date': '2024-07-07'}]",True
12,"Jakie warunki muszą być spełnione, aby otrzymać redukcję z tytułu studiowania na więcej niż jednym kierunku jednocześnie?","['- Rozdziat IV ZASADY WYLICZANIA ZNIZEK  1. Rektor przyznaje redukcje czesnego za wyniki w nauce. 2. Redukcja przyznawana jest: 1) po kazdym zakonczonym semestrze studentom, ktorzy osiqgn li sredniq semestralnq 5,0 i majq zaliczone wszystkie wymagane programowo przedmioty (cwiczenia i wyktady); 2) na okres jednego semestru i polega na obnizeniu czesnego o 20%, 3) automatycznie na podstawie uzyskanych wynikow w nauce (nie wymaga sktadania wniosku przez Studenta). 3. 0 przyznaniu redukcji Student zostaje powiadomiony za posrednictwem poczty e-mail. 4. Redukcja czesnego dla studiujqcego rodzenstwa lub matzenstwa: 1) maze zostac przyznana studiujqcemu w tym samym czasie rodzenstwu lub wspotmatzonkom, na podstawie ztozonego przez kazdego ze studentow wniosku; 2) wysokosc redukcji wynosi 25% dla kazdego uprawnionego; 3) obowic1zuje tylko w sytuacji, gdy kazdy z uprawnionych uiszcza czesne; 4)  zmiana trybu jednego z uprawnionych na tryb ""tylko ITN"", przejscie na urlop zdrowotny/dziekanski lub utrata statusu studenta pozbawia pozostatych uprawnionych prawa do redukcji; 5) redukcja przyznawana jest na okres jednego semestru. Po jego uptywie nalezy ponowic wniosek w celu utrzymania redukcji. 5. Redukcja z tytutu studiowania na wi cej niz jednym kierunku jednoczesnie: 1) dotyczy studentow, ktorzy w trakcie studiow podejmujq nauk na drugim kierunku PJATK; 2) wymaga ztozenia wniosku o przyznanie redukcji; 3) wysokosc redukcji ustala si  na 50% nizszego cz·esnego; 4) redukcja przyznawana jest na okres jednego semestru. Po jego uptywi nalezy ponowic wniosek w celu utrzymania redukcji. 6. PJATK pokrywa do 50% kosztow pobytu studenta Wydziatu·sztuki Nowych Mediow na obowiqzkowym dla studenta plenerze. Pozostate koszty, w tym koszt clojazdu na miejsce zaj c plenerowych, student ponosi we wtasnym zakresie. 7. Student ma prawo do znizki z tytutu jednorazowej optaty czesnego: 1) za rok z gory - w wysokosci 5% lub 2) za semestr z gory - w wysokosci 2%. 8. Pod poj ciem optaty za rok z gory, o kt6rej mowa w ust. 7 niniejszego paragrafu, nalezy rozumiec optat za rok akademicki, tj. optat uregulowanc1 tc1cznie za dwa semestry. Znizka za rok z gory nie przystuguje, jezeli w danym roku akademickim proces nauki Studenta obejmuje tylko']","Redukcja z tytutu studiowania na wi cej niz jednym kierunku jednoczesnie: 1) dotyczy studentow, ktorzy w trakcie studiow podejmujq nauk na drugim kierunku PJATK; 2) wymaga ztozenia wniosku o przyznanie redukcji; 3) wysokosc redukcji ustala si  na 50% nizszego cz·esnego; 4) redukcja przyznawana jest na okres jednego semestru. Po jego uptywi nalezy ponowic wniosek w celu utrzymania redukcji.",simple,"[{'page_label': '3', 'file_name': 'Regulamin-oplat-2022_2023-PL.pdf', 'file_path': '/Users/zuzannagez/Desktop/Biurko\xa0– MacBook Pro (Zuzanna)/rag/src/src/pre_retrieval/../../content/data2/Regulamin-oplat-2022_2023-PL.pdf', 'file_type': 'application/pdf', 'file_size': 1880520, 'creation_date': '2024-08-06', 'last_modified_date': '2024-08-06'}]",True
13,Jaka jest opłata semestralna ze zniżką dla studiów stacjonarnych na kierunku Grafika?,"[' Optata miesi czna 1 700,00 zt 1 700,00 zt Optata semestralna ze znizkq 2% 8 330,00 zt 8 330,00 zt  sem Vi VI  Optata roczna ze znizkq 5% 16 150,00 zt    Studia stacjonarne: Grafika ENG    sem I sem II Optata miesi czna 1820,00 zt 1820,00 zt Optata miesi czna ze znizkq 10% na I semestr 1638,00 zt 1820,00 zt Optata miesi czna ze znizkq 30% na I semestr 1 274,00 zt 1820,00 zt Optata semestralna ze znizkq 2% 8 918,00 zt 8 918,00 zt Optata semestralna ze znizkc1 2% i 10% na I semestr 8 026,20 zt 8 918,00 zt Optata semestralna ze znizkq 2% i 30% na I semestr 6 242,60 zt 8 918,00 zt     sem Ii II  Optata roczna ze znizkq 5% 17 290,00 zt  Optata roczna ze zniikq 5% i 10% na I semestr 16 425,50 zt  Optata roczna ze znizkq 5% i 30% na I semestr 14 696,50 zt   sem Ill sem IV Optata miesi czna 1890,00 zt 1890,00 zt Optata semestralna ze znizkq 2% 9 261,00 zt 9 261,00 zt  sem Ill i IV  Optata roczna ze znizkc1 5% 17 955,00 zt   semV semVI Optata miesi czna 1950,00 zt 1 950,00 zt Optata semestralna ze znizkq 2% 9 555,00 zt 9 555,00 zt  sem Vi VI  Optata roczna ze znizkq 5% 18 525,00 zt    Studia niestacjonarne: Grafika    sem I sem II Optata miesi czna 1 210,00•zt 1210,00 zt Optata miesi czna ze znizkq 10% na I semestr 1 089,00 zt 1210,00 zt Optata miesi czna ze zniikq 30% na I semestr 847,00 zt 1210,00 zt Optata semestralna ze zniikq 2% 5 929,00 zt 5 929,00 zt Optata semestralna ze zniikq 2% i 10% na I semestr 5 336,10 zt 5 929,00 zt Optata semestralna ze zniikq 2% i 30% na I semestr 4150,30 zt 5 929,00 zt     sem Ii II  Optata roczna ze znizkc1 5% 11495,00 zt  Optata roczna ze zniikq 5% i 10% na I semestr 10 920,25 zt  Optata roczna ze zniikq 5% i 30% na I ser.nestr 9 770,75 zt   sem Ill sem IV Optata miesi czna 1 250,00 zt 1 250,00 zt      ']","Opłata semestralna ze zniżką dla studiów stacjonarnych na kierunku Grafika wynosi 8 918,00 zt",reasoning,"[{'page_label': '17', 'file_name': 'Regulamin-oplat-2022_2023-PL.pdf', 'file_path': '/Users/zuzannagez/Desktop/Biurko\xa0– MacBook Pro (Zuzanna)/rag/src/src/pre_retrieval/../../content/data2/Regulamin-oplat-2022_2023-PL.pdf', 'file_type': 'application/pdf', 'file_size': 1880520, 'creation_date': '2024-08-06', 'last_modified_date': '2024-08-06'}]",True
14,Gdzie znaleźć plany zajęć na PJWSTK?,"['   \n       \n Po odbiór Elektronicznej Legitymacji Studenckiej studenci zgłaszają się do Dziekanatu, po otrzymaniu maila na swoją szkolną skrzynkę pocztową. Na ELS można kodować bilety okresowe. 1.16 Co\tto\tjest\tOY?\tOY jest to arkusz przebiegu studiów. Jest to wykaz wszystkich przedmiotów oraz uzyskanych ocen w poszczególnych semestrach. 1.17 Czy\tSzkoła\tubezpiecza\tstudentów?\tUczelnia opłaca składki na ubezpieczenie zdrowotne za studentów, którzy ukończyli 26 rok życia i nie mają innego tytułu do ubezpieczenia. Do tego wieku powinni być ubezpieczeni jako członkowie rodzin u swoich Rodziców, Dziadków, Opiekunów prawnych, w zakładzie ich pracy bądź w ZUS.  2 Plany\tzajęć\ti\tzapisy\tna\tkursy\t\t2.1 Gdzie\tmogę\tsię\tdowiedzieć,\tkiedy,\tw\tjakiej\tsali\ti\to\tktórej\tgodzinie\tobywają\tsię\tposzczególne\tzajęcia?\tWszystkie te informacje można znaleźć na stronie internetowej PJWSTK oraz na tablicach informacyjnych znajdujących się na terenie PJWSTK. 2.2 Gdzie\tmogę\tsię\tdowiedzieć,\tw\tktórej\tjestem\tgrupie?\tInformacje takie można sprawdzić poprzez Wirtualny Dziekanat lub dowiedzieć się bezpośrednio w Dziekanacie. 2.3 Gdzie\tznajdują\tsię\tplany\tzajęć\ti\ttablice\tz\togłoszeniami?\tPlany zajęć znajdują się na stronie PJWSTK tablice ogłoszeniowe znajdują się na parterze budynku A (okolice Dziekanatu), w budynku C – pierwsze piętro (dotyczy wydziału SNM) oraz w budynku na ulicy Siewierskiej (dotyczy Architektury Wnętrz). 2.4 Gdzie\tmogę\tzapisać\tsię\tna\tzajęcia\tz\tWF\toraz\tuzyskać\twpis\tz\ttego\tprzedmiotu?\tZapisami na zajęcia z WF prowadzone są wyłącznie drogą mailową   3 Oceny,\twpisy,\tzaliczenia\ti\tegzaminy\t3.1 Jaka\tjest\tskala\tocen\tw\tPJWSTK?\tPrzy egzaminach i zaliczeniach przedmiotów stosuje się następujące oceny: ']",Plany zajęć można znaleźć na stronie internetowej PJWSTK oraz na tablicach informacyjnych znajdujących się na terenie PJWSTK.,reasoning,"[{'page_label': '3', 'file_name': 'FAQ Studenci.pdf', 'file_path': '/Users/zuzannagez/Desktop/Biurko\xa0– MacBook Pro (Zuzanna)/rag/src/src/pre_retrieval/../../content/data2/FAQ Studenci.pdf', 'file_type': 'application/pdf', 'file_size': 263861, 'creation_date': '2024-07-05', 'last_modified_date': '2024-07-05'}]",True
15,Ile godzin zajęć przewiduje program studiów z grafiki projektowej w systemie zaocznym?,['Program przewiduje 288 godziny zajęć. Studia prowadzone są w systemie zaocznym. Zajęcia realizowane są w czasie zjazdów weekendowych (dwa zjazdy w miesiącu).Przewidziane jest utworzenie dwóch grup – początkującej i zaawansowanej – w zależności od stopnia wiedzy i umiejętności kandydatów w obszarze kreacji i projektowania graficznego. O przydziale do każdej z grup decydować będą wyniki testu przeprowadzonego przed rozpoczęciem zajęć lub też (w przypadku grupy początkującej) decyzja kandydata realnie oceniającego swoje umiejętności.Grafika projektowa'],Program przewiduje 288 godziny zajęć. Studia prowadzone są w systemie zaocznym. Zajęcia realizowane są w czasie zjazdów weekendowych (dwa zjazdy w miesiącu). Przewidziane jest utworzenie dwóch grup – początkującej i zaawansowanej – w zależności od stopnia wiedzy i umiejętności kandydatów w obszarze kreacji i projektowania graficznego. O przydziale do każdej z grup decydować będą wyniki testu przeprowadzonego przed rozpoczęciem zajęć lub też (w przypadku grupy początkującej) decyzja kandydata realnie oceniającego swoje umiejętności.,reasoning,"[{'page_label': '15', 'file_name': 'CentrumKsztalaceniaPodyplomowego-broszura_informacyjna.pdf', 'file_path': '/Users/zuzannagez/Desktop/Biurko\xa0– MacBook Pro (Zuzanna)/rag/src/src/pre_retrieval/../../content/data2/CentrumKsztalaceniaPodyplomowego-broszura_informacyjna.pdf', 'file_type': 'application/pdf', 'file_size': 1155171, 'creation_date': '2024-07-07', 'last_modified_date': '2024-07-07'}]",True
16,Jakie są zasady zniżek na studia niestacjonarne w Gdańsku dla informatyki na poziomie studiów II stopnia w roku akademickim 2022/2023?,"['Zalc1cznik nr 2  ZASADY WYLICZENIA ZNIZEK NA ROK AKADEMICKI 2022/2023 GDANSK                                        Studia niestacjonarne: lnformatyka WZI GDANSK  sem I sem II Optata miesi czna 1100,00 zt 1100,00 zt Optata miesi czna ze znii:kq 10% na I semestr 990,00 zt 1100,00 zt Optata miesi czna ze znii:kq 20% na I semestr 880,00 zt 1100,00 zt Optata miesi czna ze znii:kq 30% na I semestr 770,00 zt 1100,00 zt Optata semestralna ze znii:kq 2% 5 390,00 zt 5 390,00 zt Optata semestralna ze znii:kq 2% i 10% na I semestr 4 851,00 zt 5 390,00 zt Optata semestralna ze znii:kq 2% i 20% na I semestr 4 312,00 zt 5 390,00 zt Optata semestralna ze znii:kq 2% i 30% na I semestr 3 773,00 zt 5 390,00 zt   sem_l i II        ·-:- - Optata roczna ze znii:kq 5% 10 450,00 zt Optata roczna ze znii:kq 5% i 10% na I semestr 9 927,50 zt Optata roczna ze znii:kq 5% i 20% na I semestr 9 405,00 zt \nStudia dzienne: lnformatyka WZI GDANSK  sem I sem II Optata miesi czna 1 350,00 zt 1 350,00 zt Optata miesi czna ze znii:kq 10% na I semestr 1 215,00 zt 1350,00 zt Optata miesi czna ze znii:kq 20% na I semestr 1 080,00 zt 1 350,00 zt Optata miesi czna ze znii:kq 30% na I semestr 945,00 zt 1350,00 zt Optata semestralna ze znii:kq 2% 6 615,00 zt 6 615,00 zt Optata semestralna ze znii:kq 2% i 10% na I semestr 5 953,50 zt 6 615,00 zt Optata semestralna ze znii:kq 2% i 20% na I semestr 5 292,00 zt 6 615,00 zt Optata semestralna ze znii:kq 2% i 30% na I semestr 4 630,50 zt 6 615,00 zt   sem Ii II  Optata roczna ze znii:kq 5% 12 825,00 zt Optata roczna ze znii:kq 5% i 10% na I semestr 12 183,75 zt Optata roczna ze znii:kq 5% i 20% na I semestr 11 542,50 zt Optata roczna ze znii:kq 5% i 30% na I semestr 10 901,25 zt  sem Ill sem IV Optata miesi czna 1 380,00 zt 1 380,00 zt Optata semestralna ze znii:kq 2% 6 762,00 zt 6 762,00 zt  sem Ill i IV  Optata roczna ze znii:kq 5% 13 110,00 zt   sem V sem VI Optata miesi czna 1410,00 zt 1410,00 zt Optata semestralna ze znii:kq 2% 6 909,00 zt 6 909,00 zt  sem Vi VI  Optata roczna ze znii:kq 5% 13 395,00 zt   sem VII  Optata miesi czna 1440,00 zt  Optata semestralna ze znii:']","Zasady wliczania zniżek na studia niestacjonarne w Gdańsku dla informatyki na poziomie studiów II stopnia w roku akademickim 2022/2023 są następujące: Optata miesięczna ze zniżką 10% na I semestr wynosi 990,00 zł, ze zniżką 20% na I semestr wynosi 880,00 zł, a ze zniżką 30% na I semestr wynosi 770,00 zł. Optata semestralna ze zniżką 2% wynosi 5 390,00 zł, ze zniżką 2% i 10% na I semestr wynosi 4 851,00 zł, ze zniżką 2% i 20% na I semestr wynosi 4 312,00 zł, a ze zniżką 2% i 30% na I semestr wynosi 3 773,00 zł. Optata roczna ze zniżką 5% wynosi 10 450,00 zł, ze zniżką 5% i 10% na I semestr wynosi 9 927,50 zł, a ze zniżką 5% i 20% na I semestr wynosi 9 405,00 zł.",multi_context,"[{'page_label': '26', 'file_name': 'Regulamin-oplat-2022_2023-PL.pdf', 'file_path': '/Users/zuzannagez/Desktop/Biurko\xa0– MacBook Pro (Zuzanna)/rag/src/src/pre_retrieval/../../content/data2/Regulamin-oplat-2022_2023-PL.pdf', 'file_type': 'application/pdf', 'file_size': 1880520, 'creation_date': '2024-08-06', 'last_modified_date': '2024-08-06'}]",True
17,Jakie są opłaty za dodatkową specjalizację i czy można zrezygnować z jednej z nich?,"[' \n       \n  11 \tDruga\tspecjalizacja/drugi\tkierunek\tstudiów\t11.1 \tCzy\tmogę\trobić\tdwie\tspecjalizacje\tnaraz?\tNa wniosek studenta Dziekan może zezwolić na realizację drugiej specjalizacji. Zgoda jest wydawana na czas określony i w przypadku braku zaliczeń poszczególnych przedmiotów specjalizacyjnych może zostać cofnięta, a niezaliczone przedmioty z zakresu dodatkowej specjalizacji są anulowane i nie są liczone do średniej. Opłaty za dodatkową specjalizację nie podlegają zwrotowi. 11.2 \tIle\tkosztuje\tdruga\tspecjalizacja?\tZgodnie z Zarządzeniem Rektora dot. opłat na dany rok akademicki. 11.3 \tWybrałem/am\tdwie\tspecjalizacje,\tale\tchciałbym\tzrezygnować\tz\tjednej\tz\tnich.\tCzy\tjest\tto\tmożliwe?\tTak. Opłaty za dodatkową specjalizację nie podlegają zwrotowi. 11.4 \tChciałbym\tstudiować\tdwa\tkierunki\tw\tPJWSTK.\tCzy\tjest\tto\tmożliwe,\ta\tjeśli\ttak,\tto\tile\tto\tkosztuje?\tTak, jest to możliwe na wniosek studenta.  W przypadku, gdy student PJWSTK podejmuje naukę na drugim kierunku w PJWSTK, obowiązuje go tylko jedno, wyższe wpisowe oraz 50% redukcji czesnego na kierunku, na którym obowiązuje niższe czesne. 12 Nieobecności,\tpowtarzanie\tprzedmiotu,\tzmiana\tgrupy\t\t12.1 \t\tIle\tmogę\tmieć\tnieobecności\tw\tjednym\tsemestrze?\tLiczba nieusprawiedliwionych nieobecności studenta w ciągu semestru nie powinna przekraczać 20% wszystkich zajęć z danego przedmiotu. Przekroczenie liczby nieusprawiedliwionych nieobecności ma wpływ na ocenę z ćwiczeń lub ich niezaliczenie (Regulamin Studiów § 10 pkt. 4). 12.2 Co\tsię\tstanie,\tjeśli\tnie\tzaliczę\tjednego\tprzedmiotu\t„z\tserii”\t(np.\tJęzyka\tangielskiego\tI)?\tW przypadku niezaliczenia jednego przedmiotu z „serii” (np. Język angielski 1) w kolejnym semestrze student realizuje kolejny przedmiot z „serii” (np. Język angielski 2), a przedmiot ']","Opłaty za dodatkową specjalizację nie podlegają zwrotowi. Tak, jest możliwe zrezygnowanie z jednej z nich.",multi_context,"[{'page_label': '11', 'file_name': 'FAQ Studenci.pdf', 'file_path': '/Users/zuzannagez/Desktop/Biurko\xa0– MacBook Pro (Zuzanna)/rag/src/src/pre_retrieval/../../content/data2/FAQ Studenci.pdf', 'file_type': 'application/pdf', 'file_size': 263861, 'creation_date': '2024-07-05', 'last_modified_date': '2024-07-05'}]",True
18,Jakie są zasady przechowywania zasobów repozytorium?,"['3. Zasób repozytorium jest przechowywany bezterminowo, z zachowaniem \nbezpieczeństwa danych.  \n4. Materiały zdeponowane w Repozytorium nie podlegają wycofaniu przez autorów.  \n5. W wyjątkowych sytuacjach, na wniosek autora możliwe jest zaktu alizowanie lub \nusunięcie zdeponowanego Materiału, wyłącznie za pośrednictwem administratora \nRepozytorium.  \n ']","Zasób repozytorium jest przechowywany bezterminowo, z zachowaniem bezpieczeństwa danych.",simple,"[{'page_label': '3', 'file_name': 'Regulamin Repozytorium Instytucjonalnego PJATK.pdf', 'file_path': '/Users/zuzannagez/Desktop/Biurko\xa0– MacBook Pro (Zuzanna)/rag/src/src/pre_retrieval/../../content/data2/Regulamin Repozytorium Instytucjonalnego PJATK.pdf', 'file_type': 'application/pdf', 'file_size': 128894, 'creation_date': '2024-07-20', 'last_modified_date': '2024-07-20'}]",True
19,Jakie informacje mogę uzyskać od wykładowców dotyczące wyników egzaminów i zaliczeń?,"['. Dodatkowo o terminie egzaminu bardzo często informują wykładowcy.  3.7 Gdzie\ti\tkiedy\tznajdę\twyniki\tegzaminów\ti\tzaliczeń?\tWyniki egzaminów i zaliczeń można uzyskać bezpośrednio u prowadzącego, można podglądać swoje oceny poprzez Wirtualny Dziekanat. Niektórzy prowadzący wyniki egzaminów umieszczają na ogólnodostępnym dysku P (P:\\ FTP(Public)). ']",Informacje dotyczące wyników egzaminów i zaliczeń można uzyskać bezpośrednio u prowadzącego lub poprzez Wirtualny Dziekanat. Niektórzy prowadzący umieszczają wyniki egzaminów na ogólnodostępnym dysku P (P:\ FTP(Public)).,simple,"[{'page_label': '4', 'file_name': 'FAQ Studenci.pdf', 'file_path': '/Users/zuzannagez/Desktop/Biurko\xa0– MacBook Pro (Zuzanna)/rag/src/src/pre_retrieval/../../content/data2/FAQ Studenci.pdf', 'file_type': 'application/pdf', 'file_size': 263861, 'creation_date': '2024-07-05', 'last_modified_date': '2024-07-05'}]",True
